Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEM PROFESSORA RUTH CHAGAS MANHAES;33163030;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA WILSON AMARO DE FREITAS, 0 JULIAO NOGUEIRA. 28053-652 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-21.7505565;-41.3528421
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CIEP BRIZOLAO 416 WILSON BATISTA;33163049;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA CAMPISTA, 416 PARQUE GUARUS. 28110-000 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-21.7217;-41.3221
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM CLOVIS TAVARES;33163057;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ALLAN KARDEC, 0 PARQUE CORRIENTES. 28055-120 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-21.74333;-41.35502
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM NACAO GOITACA;33163065;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"ESTRADA DE POCO GORDO, 0 GOITACAZES. 28110-000 Campos dos Goytacazes - RJ.";(22) 997171620;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-21.8294577;-41.2626722
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM LUIS CARLOS DE LACERDA;33163073;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RODOVIA CAMPOS - VITORIA, 0 KM 016. TRAVESSAO. 28175-000 Campos dos Goytacazes - RJ.";(22) 998351413;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL ALESSANDRA ALMEIDA LTDA;33165157;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"ESTRADA DO BATISTA, 63 GOITACAZES. 28110-000 Campos dos Goytacazes - RJ.";(22) 27244907;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL RECOMECAR;33165521;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA TANCREDO NEVES, 101 PARQUE JARDIM CARIOCA. 28080-420 Campos dos Goytacazes - RJ.";(22) 27332557;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA PARALISADA;INSTITUTO CONTEMPORANEO DE CAMPOS;33165599;RJ;Campos dos Goytacazes;Urbana;Não Informado;Privada;"RUA VISCONDE DE ALVARENGA, S/N PARQUE LEOPOLDINA. 28053-000 Campos dos Goytacazes - RJ.";;Privada;Não Informado;Não;;;;;;
ESCOLA PARALISADA;COLEGIO BATISTA CHAVE DE DAVI;33165831;RJ;Campos dos Goytacazes;Urbana;Não Informado;Privada;"RUA JUPTER, 42 CENTRO. SANTA MARIA DE CAMPOS. 28155-000 Campos dos Goytacazes - RJ.";(22) 27812361;Privada;Não Informado;Não;;;;;-21.26635;-41.44897
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INSTITUTO TECNOLOGICO DE CAMPOS - ITECAM;33166064;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA ANITA PECANHA, 100 PARQUE SAO CAETANO. 28030-335 Campos dos Goytacazes - RJ.";(22) 27262449;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Profissional;;-21.75934;-41.34553
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO INTEGRADO EDUCACIONAL E TECNICO CAMPOS;33166099;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA VINTE E OITO DE MARCO, 533/539 CENTRO. 28020-740 Campos dos Goytacazes - RJ.";(22) 27235268;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Ensino Médio, Educação Profissional";;-21.76361;-41.31026
