Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ASSOC PROT ORIENT AOS EXCEPCIONAIS;33008159;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA DOMINGOS VIANA, S/N PARQUE TURF CLUB. 28013-085 Campos dos Goytacazes - RJ.";(22) 27333833;Privada;Filantrópica;Não;Sim;Escola sem matrícula de escolarização;;"Atendimento Educacional Especializado, Atividade Complementar";-21.76798;-41.31208
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CIEP BRIZOLAO 144 PROFESSORA CARMEM SYLVIA CARNEIRO;33008175;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA EDGARD MONTEIRO, S/N PARQUE ELDORADO. 28090-100 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-21.7164;-41.30849
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EXTERNATO CAMPISTA;33008205;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA DOUTOR BEDA, 112/118 PARQUE ROSARIO. 28027-818 Campos dos Goytacazes - RJ.";(22) 27331223;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-21.76998;-41.32253
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUC FELICIANO AZEVEDO;33008213;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA BENTA PEREIRA, 83 77. CENTRO. 28035-290 Campos dos Goytacazes - RJ.";(22) 27230882;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-21.75683;-41.32902
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL NOSSA SENHORA AUXILIADORA;33008221;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA SALVADOR CORREIA, 139 CENTRO. 28035-310 Campos dos Goytacazes - RJ.";(22) 27262700;Privada;Particular;Não;Sim;Mais de 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio, Educação Profissional";;-21.75545;-41.33101
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUC SAO GERALDO;33008230;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA NAZARIO PEREIRA GOMES, 87 PARQUE GUARUS. 28070-205 Campos dos Goytacazes - RJ.";(22) 27228112;Privada;Filantrópica;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-21.72744;-41.32467
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL MUNICIPAL DO SINDICATO DOS TRABALHADORES NA INDUSTRIA DO ACUCAR DE CAMPOS;33008248;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA LACERDA SOBRINHO, 114 CENTRO. 28010-076 Campos dos Goytacazes - RJ.";(22) 999570715;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";;-21.75763;-41.32345
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL 29 DE MAIO;33008256;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA VISCONDE DE ALVARENGA, 0 PECUARIA. 28053-000 Campos dos Goytacazes - RJ.";(22) 999350427;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-21.7431982;-41.3446258
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROFESSORA OLGA LINHARES CORREA;33008264;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA SENADOR JOSE CARLOS PEREIRA PINTO, 751 CALABOUCO. 28083-101 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-21.73971;-41.31387
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CIEP 056 DOUTOR CUSTODIO SIQUEIRA;33008272;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA SENADOR JOSE CARLOS PEREIRA PINTO, 500 CALABOUCO. 28083-101 Campos dos Goytacazes - RJ.";(22) 27348181;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Médio, Educação de Jovens Adultos";;-21.7372583333333;-41.3141483333333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CIEP BRIZOLAO 142 MAESTRO VILLA LOBOS;33008280;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA NAZARIO PEREIRA GOMES, 464 PARQUE SAO JOSE. 28070-205 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-21.729754;-41.3268672
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CIEP 057 DOUTOR NILO PECANHA;33008299;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA RUI BARBOSA, 0 LAPA. 28013-000 Campos dos Goytacazes - RJ.";(22) 27395089;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";;-21.7569383333333;-41.31701
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO TRES PASTORINHOS;33008302;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA VISCONDE DE ALVARENGA, 354/386 PARQUE LEOPOLDINA. 28053-000 Campos dos Goytacazes - RJ.";(22) 27322441;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO BATISTA FLUMINENSE;33008310;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA ALBERTO TORRES, CENTRO. 28035-582 Campos dos Goytacazes - RJ.";(22) 21010021;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio, Educação Profissional";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO BITTENCOURT;33008337;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA GIL DE GOIS, 299 CENTRO. 28035-641 Campos dos Goytacazes - RJ.";(22) 27330303;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-21.75296;-41.33403
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;E T E AGRICOLA ANTONIO SARLO;33008370;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA WILSON BATISTA, S/N PARQUE ALDEIA. 28060-560 Campos dos Goytacazes - RJ.";(22) 27386775;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Ensino Fundamental, Educação Profissional";;-21.72118;-41.34375
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE BENTA PEREIRA;33008388;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ANTONINO NEVES, 148 PARQUE JARDIM CARIOCA. 28080-255 Campos dos Goytacazes - RJ.";(22) 27350193;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos";;-21.7488533333333;-41.3180866666667
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE CORONEL JOAO BATISTA DE PAULA BARROSO;33008396;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SILVINO CANELA, 0 GOYTACAZES. 28110-000 Campos dos Goytacazes - RJ.";(22) 27340279;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";;-21.83209231;-41.27372209
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE DOUTOR FELIX MIRANDA;33008418;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA RIO BONITO, 152 PARQUE GUARUS. 28070-645 Campos dos Goytacazes - RJ.";(22) 27384462;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos";;-21.7215081;-41.32343416
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE DOUTOR SYLVIO BASTOS TAVARES;33008434;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA VIVEIROS DE VASCONCELOS, 245 PARQUE ROSARIO. 28027-110 Campos dos Goytacazes - RJ.";(22) 27241419;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-21.7755140364161;-41.3228203683766
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE JOAO PESSOA;33008442;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA OPERARIO CAMPISTA, 35 PARQUE SAO CAETANO. 28030-255 Campos dos Goytacazes - RJ.";(22) 27317978;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos";;-21.7575166837282;-41.3433271979958
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE JOSE DO PATROCINIO;33008450;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CORA DE ALVARENGA, 0 PARQUE LEOPOLDINA. 28051-271 Campos dos Goytacazes - RJ.";(22) 27322994;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos";;-21.7513666721061;-41.3428997900337
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE NILO PECANHA;33008485;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DOUTOR LACERDA SOBRINHO, 119 CENTRO. 28030-002 Campos dos Goytacazes - RJ.";(22) 27285315;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";;-21.75995236;-41.32452878
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE VISCONDE DO RIO BRANCO;33008493;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA RIACHUELO, 102 LAPA. 28013-450 Campos dos Goytacazes - RJ.";(22) 27250854;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-21.7576733333333;-41.30992
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COL JOAO PAULO II;33008523;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA VISCONDE DE ITABORAI, 524 ANEXO 538. PARQUE ROSARIO. 28026-149 Campos dos Goytacazes - RJ.";(22) 27399765;Privada;Filantrópica;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-21.77547041;-41.32981084
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA ADVENTISTA DE CAMPOS;33008612;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA CONSELHEIRO OTAVIANO, 87 CENTRO. 28010-140 Campos dos Goytacazes - RJ.";(22) 30256108;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-21.76417;-41.32434
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE QUINZE DE NOVEMBRO;33008663;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA DA REPUBLICA, 06 CENTRO. 28010-080 Campos dos Goytacazes - RJ.";(22) 27312847;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-21.7608255235166;-41.3258150203
ESCOLA PARALISADA;E E MUNICIPALIZADA ADRIANO MACHADO VIANA FARIA;33008671;RJ;Campos dos Goytacazes;Rural;Não Informado;Pública;"FAZENDA ABADIA, 28110-000 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEM ALBERTO LAMEGO;33008680;RJ;Campos dos Goytacazes;Rural;A escola não está em área de localização diferenciada;Pública;"RODOVIA JOSE LYZANDRO DE ALBERNAZ GOMES, 0 MARTINS LAGE. 28110-000 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA PARALISADA;EE CLODOMIRO CARDOSO;33008710;RJ;Campos dos Goytacazes;Rural;Não Informado;Pública;"ESTACAO DE ITERERE, 28010-000 Campos dos Goytacazes - RJ.";;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE CONSTANTINO FERNANDES;33008728;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JULIO BARCELOS, 275 PARQUE BENTA PEREIRA. 28020-140 Campos dos Goytacazes - RJ.";(22) 27343398;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";;-21.7792382;-41.2998536
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE DESEMBARGADOR ALVARO FERREIRA PINTO;33008736;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MANOEL FRANCISCO DAS CHAGAS, 0 DONANA. 28110-000 Campos dos Goytacazes - RJ.";(22) 27259343;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";;-21.8191198585555;-41.2978461384773
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE DOM OTAVIANO DE ALBUQUERQUE;33008752;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA HAROLDO MACHADO, 0 URURAI. 28035-145 Campos dos Goytacazes - RJ.";(22) 27283017;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";;-21.81153614;-41.39393919
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM DR ALCINDOR DE MORAES BESSA - MUNICIPALIZADA;33008779;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DOUTOR MANOEL LANDIM, 208 TERREO. PARQUE TURF CLUB. 28024-020 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Em Tramitação;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-21.77503;-41.31287
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE DOUTOR CESAR TINOCO;33008795;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DO COLEGIO, 0 SANTA CRUZ. 28050-270 Campos dos Goytacazes - RJ.";(22) 27362888;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-21.7215852;-41.4020237
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM DR FRANCISCO MANOEL PEREIRA CRESPO - MUNICIPALIZADA;33008809;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RODOVIA CAMPOS VITORIA KM8, 0 JARDIM AEROPORTO. 28073-476 Campos dos Goytacazes - RJ.";(22) 996037183;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-21.68515;-41.31054
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE DOUTOR JOAO MURILO CARNEIRO DE OLIVEIRA;33008817;RJ;Campos dos Goytacazes;Rural;A escola não está em área de localização diferenciada;Pública;"ESTRADA CAMPOS ITAPERUNA, 0 USINA SAPUCAIA. SAPUCAIA. 28040-000 Campos dos Goytacazes - RJ.";(22) 27287853;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-21.65491916;-41.40180834
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM DOUTOR LUIZ GUARANA;33008825;RJ;Campos dos Goytacazes;Rural;A escola não está em área de localização diferenciada;Pública;"RUA DO ESTADIO DE FUTEBOL, 0 CAMBAIBA. 28110-000 Campos dos Goytacazes - RJ.";(22) 998684697;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE DOUTOR MAXIMO DE AZEVEDO;33008841;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA NOSSA SENHORA DA PENHA, 39 PENHA. 28021-220 Campos dos Goytacazes - RJ.";(22) 27341682;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-21.79713585;-41.28638364
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE DOUTOR PHILLIPPE UEBE;33008850;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA CARLOS ALBERTO CHEBABE, 1387 PARQUE SAO MATHEUS. 28073-506 Campos dos Goytacazes - RJ.";(22) 27357945;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Médio;;-21.7142467059514;-41.3091213976446
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE DOUTOR THIERS CARDOSO;33008868;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA TARCISIO MIRANDA, 30 PARQUE TARCISIO MIRANDA. 28035-145 Campos dos Goytacazes - RJ.";(22) 27319984;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";;-21.7780178133398;-41.3050271663815
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE GENERAL DUTRA;33008892;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA SOUZA MOTA, 206 PARQUE FUNDAO. 28060-010 Campos dos Goytacazes - RJ.";(22) 27338845;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";;-21.7370233333333;-41.32688
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM INSTITUTO PROFISSIONAL SAO JOSE;33008914;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA RUI BARBOSA, 553 LAPA. 28013-000 Campos dos Goytacazes - RJ.";(22) 27395113;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-21.7558599;-41.3095691
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM JOAO BORGES BARRETO;33008922;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA HAROLDO MACHADO, URURAI. 28040-145 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-21.81083;-41.391
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE JOAQUIM ATAYDE;33008957;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RODOVIA AMARAL PEIXOTO KM 6, 0 TAPERA. 28040-000 Campos dos Goytacazes - RJ.";(22) 27244086;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-21.78694701;-41.38272592
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL JOSE CARNEIRO TERRA;33008973;RJ;Campos dos Goytacazes;Rural;A escola não está em área de localização diferenciada;Pública;"AVENIDA DOUTOR NEWTON GUARANA, SN FAZENDINHA. 28021-245 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;-21.79757;-41.25137
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE JOSE FRANCISCO SALES;33008981;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA OSCAR MACHADO, 0 IPS. 28026-080 Campos dos Goytacazes - RJ.";(22) 27318514;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos";;-21.78232589;-41.32202037
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE JULIAO NOGUEIRA;33009007;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA NUNO TAVARES, 14 PARQUE SANTO AMARO. 28030-105 Campos dos Goytacazes - RJ.";(22) 27310707;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-21.76337854;-41.33849368
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM MANOEL SIMOES DE REZENDE;33009023;RJ;Campos dos Goytacazes;Rural;A escola não está em área de localização diferenciada;Pública;"RUA DOIS, 0 ESTRADA DO CARVAO. CARVAO. 28070-650 Campos dos Goytacazes - RJ.";(22) 998324014;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-21.8143168;-41.3414491
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM MARIO BARROSO;33009031;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DA FARMACIA, 202 URURAI. 28040-630 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;-21.80896;-41.39816
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PADRE JOAO NORBERTO DA COSTA LIMA;33009082;RJ;Campos dos Goytacazes;Rural;A escola não está em área de localização diferenciada;Pública;"ESTRADA DE LAGOA DE CIMA, 0 FAZENDA OLINDA. 28050-003 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-21.77317;-41.4156
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PRISCO DE ALMEIDA;33009090;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA SENADOR JOSE CARLOS PEREIRA PINTO, 471 CALABOUCO. 28110-000 Campos dos Goytacazes - RJ.";(22) 99967787;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-21.73969;-41.31387
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM ROTARY I;33009112;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DAS HORTENCIAS, 0 PARQUE BELA VISTA. 28022-030 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-21.8002701;-41.2976585
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE ROTARY II;33009120;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CARLOS BRUNO, 110 CUSTODOPOLIS. 28085-110 Campos dos Goytacazes - RJ.";(22) 27256319;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-21.72316506;-41.31162823
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM SENADOR TARCISIO MIRANDA;33009147;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA PRESIDENTE KENNEDY, 47 JOCKEY CLUB. 28020-010 Campos dos Goytacazes - RJ.";(22) 998151710;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM SENADOR JOSE CARLOS PEREIRA PINTO;33009155;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA EUDOXIO DE BRITO FALCAO, S/N PARQUE NOVA BRASILIA. 28055-240 Campos dos Goytacazes - RJ.";(22) 27208030;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
